"","data_train_30$X","SeriousDlqin2yrs","RevolvingUtilizationOfUnsecuredLines","age","NumberOfTime30.59DaysPastDueNotWorse","DebtRatio","MonthlyIncome","NumberOfOpenCreditLinesAndLoans","NumberOfTimes90DaysLate","NumberRealEstateLoansOrLines","NumberOfTime60.89DaysPastDueNotWorse","NumberOfDependents"
"5729",32682,0,0.02985629,85,0,0.134484067,5271,7,0,1,0,0
"5730",32686,0,0.086487522,49,0,0.265177446,11101,7,0,2,0,1
"5731",32687,0,0.178306431,45,1,0.422016418,4750,11,0,1,0,2
"5732",32696,1,0.9999999,50,1,0.372446762,2300,2,4,1,0,0
"5733",32700,0,0.218086923,35,0,0.45625729,6000,8,0,1,0,2
"5734",32703,0,0.586048869,63,1,0.438624893,10500,15,0,2,0,0
"5735",32708,0,0.044964123,37,0,0.011690509,6500,4,0,0,0,0
"5736",32726,0,0.019066954,59,0,0.676166726,2806,13,0,1,0,1
"5737",32730,0,0.362294625,29,0,0.509972434,6166,8,0,1,0,0
"5738",32739,0,0.188763052,77,0,0.225297962,2600,9,0,0,0,0
"5739",32741,0,0.105605805,87,0,0.355961332,4654,14,0,1,0,1
"5740",32747,0,0.052312608,63,0,0.537199399,7983,12,0,3,0,0
"5741",32750,0,0.377184812,48,0,0.742752416,3000,11,0,1,0,0
"5742",32753,0,0.313045989,66,0,0.29201714,6300,11,0,2,0,0
"5743",32757,1,0.964497041,55,0,0.202069385,6571,14,0,1,0,3
"5744",32760,0,0.000850555,60,0,0.371641034,5916,6,0,2,0,0
"5745",32765,1,1.194023292,49,2,0.473293345,3500,3,3,1,1,3
"5746",32768,0,0,73,0,0,3970.31452988575,3,0,0,0,0
"5747",32776,0,0.318178788,42,0,0.479822288,2700,4,0,1,0,2
"5748",32779,1,0.925381459,48,2,0.410362365,6291,11,3,1,2,0
"5749",32794,0,0.016755066,77,0,0.061187762,5000,4,0,1,0,0
"5750",32798,0,0.127791195,43,0,0.449602122,3769,5,0,1,0,2
"5751",32800,1,0.962075848,26,0,0.183865778,4350,3,1,0,0,0
"5752",32812,1,0.915402071,48,2,1.005998286,3500,20,0,1,0,0
"5753",32813,0,0,27,0,0,2387.99704829737,1,0,0,0,0
"5754",32814,1,0.054495497,24,1,0.466809422,1400,8,0,0,1,0
"5755",32820,1,0.120186661,74,1,0.079684764,2283,3,2,0,0,1
"5756",32825,0,0,53,0,1.028932141,1900,8,0,1,0,0
"5757",32830,0,0.229312023,42,1,0.488701886,6416,15,0,1,0,0
"5758",32831,0,0.930301294,41,0,0.449079949,6303,9,0,0,0,3
"5759",32834,0,0.318730862,49,1,0.344500387,5163,10,0,1,0,2
"5760",32836,0,0.02640667,52,0,0.165871393,4400,21,0,1,0,0
"5761",32839,1,0.9999999,42,1,0.165509581,3600,2,1,0,2,3
"5762",32840,0,0.236719238,55,0,0.460747343,5833,7,0,1,0,0
"5763",32843,0,0.17296921,53,0,0.403285323,8400,12,1,2,0,1
"5764",32844,0,0.040242649,41,0,0.472264953,11050,16,0,3,0,3
"5765",32848,0,0.13579218,70,0,0.152855994,8700,16,0,0,0,0
"5766",32863,1,0.9999999,28,0,0.255163728,3969,5,2,0,3,0
"5767",32864,0,0.255367748,61,0,0.078511719,6100,4,0,0,0,1
"5768",32872,0,0.106880866,50,1,0.50589882,5000,16,0,2,0,2
"5769",32874,1,0.470915576,65,0,0.406090707,7650,14,0,1,0,1
"5770",32875,0,0.037388168,56,1,0.289256859,12500,17,0,1,0,3
"5771",32882,0,0.219412899,53,0,0.4671209,6310,10,0,2,0,1
"5772",32898,0,0.232325272,57,0,0.330303375,8800,11,0,1,0,0
"5773",32910,0,0.073759959,41,0,0.154222367,9200,5,0,1,0,2
"5774",32914,0,0.219718685,38,0,0.039184326,2500,2,0,0,0,2
"5775",32917,0,0.119804937,80,0,0.040191962,3333,8,0,0,0,0
"5776",32943,1,0.958279009,72,0,0.333541537,1600,12,1,0,0,0
"5777",32950,0,0.846606136,73,0,0.231576597,4477,6,0,0,0,0
"5778",32953,0,0.017363653,81,0,0.236546422,1690,8,0,0,0,0
"5779",32966,0,0.626757076,67,0,0.561275451,5205,8,0,2,0,0
"5780",32968,0,0.026132898,69,0,0.103550296,9125,4,0,1,0,2
"5781",32973,0,0.555444555,26,0,0.012933568,1700,2,0,0,0,0
"5782",32974,1,0.368159204,54,0,0.069860279,3506,4,0,0,0,0
"5783",32975,0,0.247699119,70,0,0.910224439,1603,29,0,1,0,0
"5784",32977,0,0.019271949,25,1,0,1400,1,0,0,1,0
"5785",32999,1,0.585804617,62,0,0.534616346,4000,11,0,0,1,0
"5786",33008,0,0.0479297,46,0,0.006269285,20416,12,0,0,0,0
"5787",33023,1,0.793453919,45,0,0.14214308,3200,5,0,0,0,0
"5788",33029,0,0.08810762,71,0,0.06742215,10500,16,0,1,0,0
"5789",33035,0,1.095083739,36,0,0.197417743,2400,6,0,0,0,0
"5790",33041,0,0.041342402,55,0,0.37110104,3750,12,0,0,0,0
"5791",33043,0,0.721943202,57,0,0.303780965,2300,9,0,0,0,0
"5792",33055,0,0,64,0,0.164980864,7315,7,0,1,0,1
"5793",33057,0,0.424521891,27,0,0.13398086,7000,8,0,0,0,3
"5794",33059,0,0.719438162,58,0,0.452160826,4650,7,0,1,0,0
"5795",33065,0,0.109725493,50,0,0.665439411,6246,11,0,1,0,3
"5796",33070,1,0.993688391,41,3,1.155974004,6000,13,0,2,0,0
"5797",33074,0,0.801927817,62,0,0.542357189,10800,15,0,2,0,1
"5798",33077,0,0.666577781,84,1,0.999493927,1975,11,0,1,0,0
"5799",33081,0,0.197865396,67,0,0.165999384,3246,3,0,0,0,1
"5800",33093,1,0.401754744,40,3,0.654822335,6500,10,0,4,0,2
"5801",33102,1,0.896485811,42,0,0.229007634,2750,3,0,0,0,3
"5802",33113,0,0.053574831,42,0,0.772091164,2500,15,0,1,0,2
"5803",33114,0,0.9999999,70,0,0,4716.33124313819,5,0,0,0,0
"5804",33115,1,0.96872285,46,1,0.316534777,2400,6,0,0,0,2
"5805",33119,0,0.001204898,59,0,0.000829359,4822,14,0,0,0,0
"5806",33129,0,0.513481237,53,1,0.482903419,5000,8,0,1,0,0
"5807",33131,0,0.464425813,84,0,0.287713841,4500,11,1,1,0,0
"5808",33136,0,0.109594411,68,0,0.171402383,12000,19,0,1,0,1
"5809",33139,1,0.058944131,52,1,0.210871603,3200,4,1,1,0,2
"5810",33149,1,0.938658578,44,1,0.337143964,5160,5,1,2,0,0
"5811",33150,1,0.579142403,42,0,1.05378383,5800,6,0,1,0,0
"5812",33160,0,0.159782779,28,0,1.425837321,835,10,0,2,0,0
"5813",33171,0,0.205680841,50,0,0.363927215,5000,8,0,1,0,0
"5814",33184,0,0.019454482,52,0,0.333288895,7500,5,0,1,0,1
"5815",33190,1,1.032350143,53,0,0.194497761,3125,12,0,0,0,2
"5816",33203,1,0.671535643,54,0,0.653421442,11500,16,0,2,0,4
"5817",33215,0,0.01455215,61,0,0.706826046,3178,16,0,1,0,0
"5818",33219,0,0.9999999,74,0,0.284318081,2250,3,0,0,0,0
"5819",33224,0,0.153003495,60,0,0.264937274,4702,9,0,1,0,0
"5820",33227,0,0.310607,36,0,0.475287574,7910,13,0,1,0,3
"5821",33228,0,0.882461154,43,0,0.275872413,10000,10,0,1,1,0
"5822",33241,0,0.077460883,54,0,0.083818798,11500,8,0,0,0,0
"5823",33244,0,0.9999999,66,0,0.199606158,5585,3,0,1,0,1
"5824",33248,1,0.01385982,50,0,0.332205524,12708,12,0,2,0,3
"5825",33254,0,0.005802653,42,0,0.001333037,4500,7,0,0,0,0
"5826",33283,1,0.066530257,61,0,0.130844681,10500,15,0,1,1,0
"5827",33292,0,0.019918819,65,0,0.24416818,7158,11,0,2,0,0
"5828",33299,1,0.366006665,64,4,0.404761905,10667,9,0,2,0,1
"5829",33304,1,0.9999999,71,2,0.426476264,2590,6,1,1,0,0
"5830",33315,1,0.555981467,44,0,0.225729051,5417,6,1,0,0,1
"5831",33316,1,0.775522569,32,1,0.129103188,6366,5,1,0,0,1
"5832",33329,1,0.783471333,35,0,0.25379979,7631,10,0,1,0,1
"5833",33337,1,0.581513568,74,2,0.634363718,8863,17,0,4,1,1
"5834",33338,0,0.102797799,66,0,0.236505398,5001,10,0,1,0,0
"5835",33346,0,0.143716097,70,0,0.018672795,3480,1,0,0,0,0
"5836",33348,1,0.727943033,42,0,0.136517999,8833,13,0,0,0,2
"5837",33363,1,0.780794369,34,0,0.273354356,5073,11,0,1,0,0
"5838",33364,0,0.166654229,37,0,0.12574994,8333,14,0,0,0,0
"5839",33368,1,1,48,0,0.628058104,2615,9,0,0,0,0
"5840",33372,0,0.9999999,29,0,0.00768935,2600,0,0,0,0,1
"5841",33391,0,0,42,0,0.664438159,11666,8,0,5,0,1
"5842",33405,1,0.9999999,28,2,0.666666667,2573,4,2,0,1,2
"5843",33408,0,0.628963854,50,0,0.256107914,10600,8,0,1,0,2
"5844",33430,0,0.088375691,68,0,0.250839866,6250,17,0,1,0,0
"5845",33434,0,0.178574413,52,0,0.427839604,5660,13,0,1,0,3
"5846",33438,1,0.737003058,48,2,0.51206553,4516,8,0,1,0,2
"5847",33445,0,0.101735673,47,0,0.738884968,4250,7,0,2,0,2
"5848",33453,1,0.089338347,55,1,1.111452729,1300,18,0,1,1,0
"5849",33457,0,0.107781505,34,0,0.296075213,6700,10,0,1,0,0
"5850",33463,0,0.382870084,66,0,0.103177542,13500,11,0,0,0,0
"5851",33467,0,0.806059494,90,0,0.566944266,3121,8,0,0,0,0
"5852",33480,0,0,59,0,0.496821656,14000,5,0,2,0,2
"5853",33482,1,0.569575139,59,2,1.04439778,6666,21,1,1,0,3
"5854",33486,0,0.006454428,86,0,0.003332223,3000,9,0,0,0,0
"5855",33492,0,0,52,1,0.623576468,18000,14,0,5,0,0
"5856",33503,0,0.239147356,37,0,0.112221945,4000,11,0,0,0,0
"5857",33513,1,1.045129963,57,3,0.420315937,5000,5,1,1,2,0
"5858",33520,0,0.9999999,22,0,0,945.592938460534,0,0,0,0,0.0824589236970741
"5859",33527,0,0.01776985,85,0,0.007748063,4000,7,0,0,0,0
"5860",33533,0,0.959221501,65,1,0.327892267,4900,7,2,0,1,1
"5861",33540,0,0.849170437,53,0,0.106211528,8934,12,0,0,0,0
"5862",33544,1,0.144600554,44,1,0.161783086,7200,8,0,1,0,2
"5863",33545,1,0.785581845,42,0,1.457850489,4400,9,0,3,0,1
"5864",33551,1,0.41578868,57,1,0.341042017,14874,19,0,1,0,3
"5865",33553,0,0.87175741,56,0,0.822730399,5815,12,0,2,0,0
"5866",33557,0,0,70,0,0.202889176,4637,4,0,1,0,0
"5867",33558,1,0.069174204,49,1,0.521504651,7416,18,0,3,1,0
"5868",33562,0,0.899551734,75,2,0.232083179,2692,6,1,0,0,1
"5869",33566,1,0.9999999,56,4,0.523646165,4080,7,8,1,2,0
"5870",33573,0,0.030040415,40,0,0.15929608,8750,6,0,2,0,0
"5871",33582,0,0.196434693,37,1,0.440888178,4998,8,0,1,0,2
"5872",33589,0,0.024626341,81,0,0.044591082,5000,13,0,1,0,1
"5873",33590,0,0.624252356,63,0,0.46245718,10800,11,0,2,0,0
"5874",33606,0,0.009551882,33,0,0.351891506,1400,17,0,1,0,0
"5875",33622,1,0.498646374,61,0,0.215338603,4680,13,1,0,0,0
"5876",33627,0,0.256365818,44,0,0.270942408,4583,5,0,2,0,1
"5877",33633,1,0.097349018,34,0,0.443991853,2945,13,0,1,0,0
"5878",33642,0,0.945129732,41,0,0.494521549,5475,7,0,2,0,3
"5879",33651,0,0.9999999,47,0,0.252815211,10833,10,0,2,0,3
"5880",33657,0,0.052231592,50,0,0.268049039,6606,6,0,1,0,2
"5881",33661,1,0.000571137,57,0,1.542582967,2500,19,0,2,0,0
"5882",33662,0,0.03473015,62,0,0.304428447,9167,28,0,2,0,0
"5883",33663,0,0.042072691,65,0,0.47979798,2375,7,0,2,0,0
"5884",33664,0,0.240858022,60,1,0.758747084,3000,9,0,1,0,0
"5885",33667,1,0.165507635,39,0,0.547702152,6875,9,0,1,0,2
"5886",33680,0,0.039033995,69,0,0.103073808,5432,17,0,1,0,0
"5887",33681,1,0.974763407,51,2,0.621683968,2600,4,0,1,2,2
"5888",33682,0,0.512660148,33,0,1.281888334,2202,9,0,1,0,0
"5889",33698,0,0.019394041,79,0,0.014042357,4343,10,0,0,0,0
"5890",33704,0,0.144158266,78,0,0.097380524,5000,6,0,1,0,0
"5891",33720,0,0.266914824,47,0,0.974102681,2200,13,0,2,1,1
"5892",33734,1,0.9999999,41,2,0.316318219,3682,4,2,0,1,2
"5893",33735,0,0,63,0,0.146190093,8700,4,0,1,0,2
"5894",33739,0,0.483756192,68,0,0.598023307,6778,16,0,1,0,0
"5895",33746,1,0.9999999,34,1,0.894105894,1000,1,0,1,0,3
"5896",33747,0,0.719069521,60,0,0.999808466,5220,14,0,1,0,0
"5897",33749,1,0.501214074,62,1,0.330667333,4000,17,0,0,1,0
"5898",33750,0,0.863511374,48,0,1.239504198,2500,7,0,1,0,2
"5899",33751,0,0.521250833,63,0,0.826238947,4862,22,0,2,0,1
"5900",33754,0,0.437853076,74,0,0.25974805,5000,12,0,0,0,1
"5901",33760,1,0.169393116,67,2,1.802146211,1490,13,0,2,0,0
"5902",33765,0,0,42,0,0.29283778,14017,9,0,2,0,2
"5903",33769,0,0,41,0,0,3250,4,0,0,0,0
"5904",33771,1,0,32,1,0.332223147,1200,4,2,0,0,0
"5905",33773,0,0.185825486,58,0,0.19205052,5383,9,0,1,0,0
"5906",33781,1,0.90708209,50,7,1.07261247,3800,8,2,1,2,4
"5907",33789,1,0.000352927,73,0,0.214317943,6648,14,1,0,0,0
"5908",33798,0,0.296737411,53,0,0.600173837,2300,9,0,1,0,1
"5909",33808,0,0,62,0,0.506117577,3350,7,0,1,0,0
"5910",33818,0,0.02414968,49,0,0.148170366,5000,6,0,0,0,0
"5911",33821,1,0.024127851,69,0,0.423622413,4300,16,0,1,0,2
"5912",33822,1,0.507029494,55,0,1.162945685,3000,13,0,1,0,2
"5913",33829,1,0.073300887,58,0,0.022236442,6250,9,0,0,0,2
"5914",33833,0,0.757655293,32,0,0.10043755,5027,3,0,0,0,3
"5915",33834,0,0.060644196,78,0,0.078378861,5600,5,0,1,0,0
"5916",33835,0,0,78,0,0.173451327,1694,3,0,0,0,1
"5917",33843,1,0.439892709,32,0,0.391797346,4144,4,0,2,1,4
"5918",33855,0,0,25,0,0.225887056,2000,7,0,0,0,0
"5919",33859,0,0.118620057,56,0,0.30012725,5500,5,0,2,0,0
"5920",33861,0,0.103174329,70,0,0.108231341,4166,7,0,0,0,1
"5921",33872,0,0.708709744,46,0,0.573242676,10000,10,0,2,0,0
"5922",33873,0,0.034972409,60,0,0.007666156,15000,6,0,0,0,0
"5923",33878,1,0.953261685,41,0,0.137064297,7200,3,0,0,0,3
"5924",33880,1,0.167290295,63,0,0.442327573,13541,24,0,4,0,1
"5925",33881,1,0.896114071,49,5,0.463180158,5200,13,1,1,4,1
"5926",33889,0,0.55126575,36,2,0.132552493,7000,10,0,0,0,3
"5927",33894,0,0.267772772,48,0,0.210533525,14600,12,0,2,0,4
"5928",33895,0,0,62,0,0.000181785,5500,8,0,0,0,0
"5929",33896,0,0,32,0,0.724530253,5800,11,0,1,0,0
"5930",33897,0,0.168635585,77,0,1.420362274,1600,19,0,1,0,0
"5931",33900,1,0.9999999,61,3,0.146090535,2429,2,2,0,0,0
"5932",33901,1,0.9999999,65,3,0.196399045,5442,6,3,0,2,2
"5933",33906,0,0.979103454,37,0,0.209503527,15025,8,0,1,0,0
"5934",33911,0,0.358667283,75,1,0.420539445,7896,23,0,3,0,0
"5935",33918,0,0.01123955,45,0,0.083245798,3807,3,0,0,0,0
"5936",33935,1,0.532207098,80,0,0.248986212,1232,2,0,0,0,0
"5937",33937,0,0.520151298,25,0,0.134459576,5800,9,0,0,0,0
"5938",33947,1,0.598748883,56,3,0.524658217,18066,12,2,2,0,1
"5939",33956,1,0.444395498,33,0,0.790682833,4700,10,0,2,0,0
"5940",33961,0,0.038017487,40,0,0.340980846,4750,7,0,1,0,2
"5941",33965,0,0.879710814,56,0,0.164423388,9286,5,0,1,0,1
"5942",33981,0,0.13149019,81,0,0.417080886,2212,9,0,3,0,0
"5943",33982,0,0.139702388,64,0,0.136636303,4500,12,0,0,0,0
"5944",33992,1,1.052193226,40,4,0.044501774,3100,8,0,0,0,1
"5945",33993,1,0.935477364,42,0,0.833917309,5707,8,0,2,0,3
"5946",33994,0,0.526862947,73,0,0.099450275,2000,2,0,0,0,0
"5947",33996,0,0.046026271,33,0,0.192865106,2690,9,0,0,0,0
"5948",34003,1,0.881839898,41,0,0.525756824,10074,7,0,2,0,3
"5949",34005,0,0.00359928,52,0,0.204704818,4420,5,0,1,0,1
"5950",34006,1,0.682317682,41,0,0.238568588,3520,4,1,0,0,1
"5951",34008,1,1.201554692,27,3,0.264273504,2924,7,0,0,0,0
"5952",34012,0,0,44,0,0.607922991,2700,2,0,1,0,1
"5953",34016,0,0.752743923,28,0,0.285224546,5833,7,0,1,0,1
"5954",34019,0,0.9999999,58,2,0.303657829,5166,2,0,1,0,0
"5955",34020,0,0.113285321,43,0,0.41350349,9167,18,0,2,0,2
"5956",34023,0,0.071081885,53,0,0.304169583,10000,15,0,2,0,2
"5957",34024,1,0.49023828,55,1,0.581003518,5400,21,0,2,0,1
"5958",34026,0,0.9999999,57,0,0.717509283,3500,4,0,1,0,0
"5959",34033,1,1.055014308,36,2,0.305763529,19900,12,10,2,3,3
"5960",34036,1,0.9999999,31,0,0,4000,0,1,0,0,1
"5961",34048,0,0.094661565,70,0,0.026223776,1715,6,0,0,0,0
"5962",34049,0,0.068776249,45,0,0.441517219,6300,7,0,2,0,2
"5963",34060,1,0.917041479,25,0,0.044213764,2600,3,0,0,0,0
"5964",34061,0,0.073450428,67,0,0.042486723,3200,4,0,0,0,0
"5965",34065,1,1.055948293,37,2,0.189927584,3037,7,1,0,0,4
"5966",34075,0,0.038992136,56,0,0.202229912,2600,7,0,0,0,0
"5967",34082,0,0.873144821,55,0,0.26102224,5125,5,0,0,0,0
"5968",34085,0,0.034335041,59,0,0.713455729,4302,8,0,0,0,0
"5969",34098,0,0.600898706,32,5,0.366061504,2698,10,0,0,0,0
"5970",34099,1,0.99090294,45,2,0.268474436,4830,5,0,0,0,3
"5971",34115,0,0.69484189,51,0,0.474747475,4850,10,0,1,0,2
"5972",34116,0,0.005726752,80,0,0.000384468,2600,2,0,0,0,0
"5973",34121,0,1.007036776,44,0,0.364409861,13750,7,0,1,1,2
"5974",34129,0,0.065574061,67,0,0.054972514,2000,9,0,0,0,0
"5975",34142,0,0.963069129,48,0,0.232153752,3277,3,0,0,0,0
"5976",34149,1,0.9999999,39,1,0.445456565,4500,7,4,0,0,1
"5977",34158,0,0.771650055,26,1,0.045347928,2557,5,0,0,0,0
"5978",34161,0,0.008199836,45,0,0.279148834,25000,11,0,5,0,1
"5979",34169,0,0.025755595,49,0,0.006392395,6100,6,0,0,0,1
"5980",34173,1,0.74537521,40,4,0.368051422,8400,20,0,1,0,0
"5981",34178,0,0.052367288,45,0,0.112622588,3160,2,1,0,0,2
"5982",34195,0,0.059409269,51,0,0.275128523,5640,6,0,2,0,4
"5983",34204,0,0,31,0,0.084971676,3000,4,0,0,0,0
"5984",34205,0,0.082413011,41,0,0.38324934,12500,12,0,2,0,2
"5985",34208,0,1.078768493,56,1,0.482559431,4500,5,0,2,0,3
"5986",34209,1,0.9999999,59,3,0.526412265,6000,4,0,2,0,0
"5987",34210,1,0.9999999,30,0,0,2700,0,0,0,0,0
"5988",34213,1,0.328348797,46,0,0.326719577,3023,9,0,2,0,1
"5989",34214,1,0.827930175,38,0,0.737408689,2600,4,0,2,1,0
"5990",34220,0,0.843335931,64,2,0.760092272,2600,12,0,1,0,1
"5991",34222,0,0.000624984,64,0,0,4100,1,0,0,0,0
"5992",34230,0,0,32,0,0,1576,2,0,0,0,0
"5993",34233,0,0.594410447,51,0,0.648667725,5666,14,0,1,0,1
"5994",34234,0,0.031262389,58,0,0.24615031,4350,8,0,2,0,0
"5995",34235,0,0.151656728,62,0,0.425208154,3482,7,0,1,0,0
"5996",34237,1,0.9999999,37,1,0.171622327,3833,6,0,0,1,2
"5997",34241,0,0.274180158,24,0,0.383122611,3400,8,0,1,0,3
"5998",34242,1,0.9999999,50,1,0.964087375,2700,2,1,1,1,5
"5999",34245,1,0.065793421,69,0,0.551149617,3000,12,3,1,0,0
"6000",34247,1,1.023255814,33,1,0.003911343,2300,1,3,0,0,3
"6001",34248,0,0.031640131,73,0,0.006761261,10500,15,0,0,0,0
"6002",34267,0,0.027404098,44,1,0.297017526,9756,14,0,1,0,0
"6003",34268,0,0.008089982,60,0,0.104223944,4000,6,0,0,0,0
"6004",34270,1,0.75756061,40,3,0.524241933,6166,8,2,2,2,1
"6005",34278,0,0.13988229,60,0,0.144244565,9060,11,0,1,0,0
"6006",34281,0,0.164609267,41,1,0.320824979,3490,27,0,0,0,3
"6007",34284,1,0.9999999,22,0,0.234853217,1600,1,0,0,0,0
"6008",34287,0,0.19047619,49,0,0.11447679,5083,17,0,0,0,0
"6009",34288,0,0.054071979,57,0,0.022743947,6814,8,0,0,0,0
"6010",34290,1,0.163346614,39,0,0.217797034,6000,4,0,0,0,3
"6011",34291,0,0.299472243,57,0,0.716380603,6000,11,0,2,0,0
"6012",34296,1,0.472065144,60,1,0.518784972,1250,9,0,0,2,0
"6013",34299,0,0.195352339,61,0,0.632301863,6333,10,0,2,0,1
"6014",34300,0,0.617621037,61,1,0.393169513,4801,11,0,1,0,0
"6015",34318,0,0.084175501,58,0,0.388850795,14583,12,0,3,0,1
"6016",34320,0,0.015928003,81,0,0.00359928,3333,7,0,0,0,0
"6017",34322,0,0.015761154,67,0,0.392682007,2650,9,0,0,0,0
"6018",34328,0,0.538701591,51,2,0.283343331,5000,9,0,2,0,1
"6019",34334,0,0.036149579,39,0,0.00736418,7196,8,0,0,0,0
"6020",34339,0,0,56,0,0.220524429,5300,8,0,1,0,2
"6021",34348,1,0.9999999,46,0,0.022913257,610,0,0,0,0,1
"6022",34354,0,0.642473301,60,0,0.215446138,4000,5,0,0,0,1
"6023",34361,1,0.103185358,61,0,0.493918413,10687,22,1,2,0,1
"6024",34366,1,0.28992259,43,0,0.12815338,5945,13,0,0,0,5
"6025",34377,0,0.758569225,47,0,0.502906301,4300,12,0,1,0,2
"6026",34381,0,1.080983803,40,1,0.376108503,3833,5,0,0,0,1
"6027",34386,0,0.077998247,58,0,0.21921871,11800,8,0,1,0,2
"6028",34393,0,0.161374402,41,0,0.366572674,3900,8,0,2,1,2
"6029",34399,0,0.39242722,69,0,0.113362039,14166,30,0,0,0,1
"6030",34402,0,0.028886528,41,0,0.380243572,4433,16,0,2,0,2
"6031",34410,1,1.04636291,70,1,0.026858214,1600,5,1,0,0,0
"6032",34453,1,0.9999999,33,0,0.0019995,4000,0,0,0,0,0
"6033",34456,1,0.999673948,50,1,0.124539595,4343,4,1,0,2,0
"6034",34460,0,0.047747613,70,0,0.003624595,7724,1,0,0,0,2
"6035",34474,0,0,71,1,0.085076244,12000,11,0,2,0,2
"6036",34478,0,0.25417855,36,0,0.410509769,4452,5,0,1,0,2
"6037",34493,1,0.9999999,33,0,0.32209868,2877,4,0,0,0,0
"6038",34505,0,0.79194276,44,4,0.59757827,9166,13,0,1,2,1
"6039",34508,1,0.010889665,37,0,0.286315199,3565,4,0,1,0,2
"6040",34509,0,0.132867254,48,0,0.264173136,4250,16,0,1,0,2
"6041",34515,1,0.862018398,30,1,0.462336014,4725,6,0,2,1,0
"6042",34534,1,0.069844306,44,1,0.475931352,21500,20,1,3,0,2
"6043",34538,0,0.017687772,61,1,0.309869931,1306,5,0,0,0,0
"6044",34542,1,0.530087303,51,0,0.55244501,5500,9,0,1,0,0
"6045",34544,1,1.19276535,28,4,0.133216477,1140,8,2,0,2,0
"6046",34545,0,0.710934187,36,0,1.680216802,3320,14,0,1,0,0
"6047",34553,0,0.161252791,62,0,0.559304348,5749,9,0,1,0,0
"6048",34556,0,0.176768958,65,0,1.048773099,3300,12,0,3,0,0
"6049",34560,0,0.9999999,46,0,1.565773691,2500,3,0,1,0,3
"6050",34574,0,0.07586912,56,0,0.138225131,13600,15,0,1,0,0
"6051",34575,0,0.011084383,79,0,0.005164879,2516,2,0,0,0,0
"6052",34580,0,0.252659729,28,0,0.07526178,4583,9,0,0,0,0
"6053",34581,1,0.654636313,46,1,0.005637887,6207,2,1,0,0,2
"6054",34582,0,0.137457503,60,0,0.987396784,2300,4,0,1,0,0
"6055",34587,0,0.977270636,49,0,0.198832943,34616,17,0,3,0,2
"6056",34589,0,0.001666556,76,0,0,4048.5020521293,2,0,0,0,0
"6057",34603,0,0.108730917,42,0,0.816439621,4330,14,0,1,0,2
"6058",34604,0,0.010570026,55,0,0.144714117,11000,14,0,1,0,3
"6059",34616,0,0.338283689,50,2,0.209872894,3382,8,0,1,1,3
"6060",34619,0,0.759560834,36,0,0.258393853,9500,5,0,1,0,2
"6061",34628,0,0.004722217,63,0,0.107582938,4219,17,0,1,0,0
"6062",34652,1,0.9999999,57,0,1.366861436,9583,9,0,5,0,0
"6063",34655,0,0.006949539,72,0,1.373555247,2162,9,0,2,0,1
"6064",34657,1,0.594405594,39,1,0.537291042,4665,6,0,1,0,4
"6065",34658,0,0.302924269,26,0,0.008924145,4033,2,0,0,0,0
"6066",34660,0,0.483450351,34,0,0.419770774,5583,12,0,2,0,1
"6067",34665,1,0.028968819,59,1,0.418292083,6100,8,0,2,1,0
"6068",34672,0,0.149590027,72,0,0.404079829,13578,6,0,2,0,0
"6069",34692,0,0.236414331,53,0,0.33236949,12795,12,0,2,0,4
"6070",34700,1,0.701880732,44,1,0.474180416,4666,8,1,1,0,2
"6071",34707,0,0.348536115,68,0,0.221955609,5000,14,0,1,0,0
"6072",34716,0,0.586246683,55,2,1.007389698,4600,13,0,2,0,1
"6073",34732,0,0.581041896,39,0,0.559720691,2720,6,0,1,0,1
"6074",34743,0,0.336807315,39,0,0.466017362,4722,15,0,2,0,0
"6075",34752,0,0.003294251,56,0,0.233721132,5758,9,0,1,0,1
"6076",34757,1,0.9999999,45,0,0.00509704,5100,0,0,0,0,2
"6077",34765,0,0.928085753,33,0,0.392456162,7926,3,0,2,0,0
"6078",34768,1,0,29,0,0.71732067,4000,7,0,1,0,2
"6079",34770,0,0.007318837,54,0,0.457714131,3700,10,0,2,0,0
"6080",34771,1,0.375782832,62,0,0.022711909,250000,15,0,2,0,0
"6081",34773,0,0,51,0,0.318997792,10416,6,0,3,0,2
"6082",34777,0,0.050584658,72,0,0.893421316,5000,11,0,2,0,0
"6083",34797,1,0.299128625,50,1,0.376583237,16500,10,0,1,0,0
"6084",34798,0,0.318068454,48,1,0.126208199,9000,9,0,0,0,2
"6085",34814,1,0.747662617,48,0,0.620306599,4500,7,0,2,0,0
"6086",34815,0,0.819436113,42,0,0.325430576,9405,6,0,1,0,1
"6087",34821,0,0.182849279,45,0,0.51149954,3260,19,0,0,0,2
"6088",34822,0,0.128649738,55,0,0.445547445,10274,24,0,3,0,2
"6089",34829,0,0.000976699,54,0,0.065422341,10500,7,0,1,0,0
"6090",34832,0,0.008156474,60,0,1.101725704,1100,6,0,2,0,1
"6091",34835,0,0.104010299,56,1,0.564802707,13000,13,0,1,0,1
"6092",34837,1,0.9999999,63,1,0.035547656,4500,2,5,0,0,0
"6093",34839,0,0.71541037,43,0,0.135305116,5882,11,0,0,0,1
"6094",34844,0,0.068754028,44,0,0.74305139,5000,8,0,1,0,0
"6095",34861,1,0.277165305,56,1,0.381073088,4733,10,0,1,0,0
